ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM
BB762,UTC2000,RUNNING,R02YZA214,2200,096EFYZ004,AYZ096EF2003A,22-01-12 12:14,22-01-11 19:22,ZJP,FBGA-96UEF,2460,01/21/2022 SP
BB763,UTC2000,RUNNING,R02CDAC01,2200,066TNCD042,ACD066TN1013A,22-01-12 18:33,22-01-12 01:33,ETRON,TSOP2-66ME,2880,01/23/2022 MP
BB764,UTC2000,RUNNING,R02ABP201,2200,096ELAB016,AAB096EL1003A,22-01-12 17:34,22-01-12 01:10,WINBOND,FBGA96UEL(2),3792,01/24/2022 MP
BB765,UTC2000,RUNNING,R02YZA421,2200,096EFYZ004,AYZ096EF2003A,22-01-12 07:34,22-01-11 14:46,ZJP,FBGA-96UEF,2453,01/25/2022 MP
BB766,UTC2000,RUNNING,R02ABLH04,2200,054NRAB004,AAB054NR2001A,22-01-12 17:22,22-01-11 15:28,WINBOND,VFBGA54B4U,7908,01/26/2022 MP
BB767,UTC2000,RUNNING,R02AWBK29,2200,048TPAW086,AAW048TP1041B,22-01-12 11:41,22-01-12 01:09,MXIC,TSOP1-48/M2,720,01/27/2022 MP
BB768,UTC2000,RUNNING,R02ABLH05,2200,054NRAB004,AAB054NR2001A,22-01-12 16:30,22-01-11 14:57,WINBOND,VFBGA54B4U,7797,01/28/2022 MP
BB769,UTC2000,RUNNING,R02CDAD01,2200,066TNCD042,ACD066TN1013A,22-01-12 20:17,22-01-12 03:17,ETRON,TSOP2-66ME,2880,01/29/2022 MP
BB770,UTC2000,RUNNING,R02ABN306,2200,096ELAB016,AAB096EL1003A,22-01-12 19:42,22-01-11 21:43,WINBOND,FBGA96UEL(2),5089,01/30/2022 MP
BB771,UTC2000,RUNNING,R02AWBN15,2200,048TPAW086,AAW048TP1041B,22-01-12 17:05,22-01-12 06:33,MXIC,TSOP1-48/M2,720,01/31/2022 MP
BB772,UTC2000,RUNNING,R02BUAR03,2200,096EABU001,ABU096EA1001A,22-01-12 07:43,22-01-11 20:46,ICSI,FBGA-96LEA,2600,
BB773,UTC2000,RUNNING,R02YZA420,2200,096EFYZ004,AYZ096EF2003A,22-01-12 11:02,22-01-11 17:54,ZJP,FBGA-96UEF,2500,
BB774,UTC2000,RUNNING,R02AWE103,3200,024XJAW020,AAW024XJ6010B,22-01-12 20:03,22-01-12 05:59,MXIC,STBGA24A4L,4204,
BB775,UTC2000,RUNNING,R02YZA207,2200,096EFYZ004,AYZ096EF2003A,22-01-12 22:55,22-01-12 05:55,ZJP,FBGA-96UEF,2480,
BB776,UTC2000,RUNNING,P53MSJA11,2200,078ENMS007,AMS078EN1002A,22-01-12 11:34,22-01-12 03:59,MTI,FBGA-78UEN,1891,
BB777,UTC2000,RUNNING,R02SSA113,2200,153XTSS011,ASS153XT3001A,22-01-12 19:00,22-01-12 05:10,HOSIN,SSBGA153JAU,1760,
